file,whisper_script,assigned_label,wer_error
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/070/070_000007690.wav,chuyển file thiết bị tìm sống wifi wordgoogle gerlinxin com,chuyển file thiết bị tìm sóng wifi html,50
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/070/070_000007583.wav,đồng hồ du lịch thế giới qua website googletravelwalk com,đồng hồ du lịch thế giới báo cáo,50
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/027/027_000001754.wav,lãi suất sẽ ở mức 6 10 tỷ,lãi suất sẽ ở mức sáu phẩy,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/059/059_000000748.wav,anh ta nói anh chưa xem xét kỹ bản chất,anh chưa xem xét kỹ bản chất,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/082/082_000002841.wav,cô như à chắc hẳn là cô đủ thông minh để hiểu vì sao tôi đến đây gặp cô chứ,cô đủ thông minh để hiểu vì sao tôi đến đây gặp cô chứ,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/070/070_000008102.wav,chương trình nhà ở toàn cầu wordguyquét habits org,chương trình nhà ở toàn cầu planeta,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/014/014_000000757.wav,hoặc hệ gen hoặc với toàn xã hội nói chung,hoặc với toàn xã hội nói chung,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/157/157_000002480.wav,người kia có người sống trong rừng trong hang núi,người sống trong rừng trong hang núi,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/137/137_000008777.wav,cậu xem đó biết rồi cậu hãy cho anh em đi nhặt dây của địch mà dùng,cậu hãy cho anh em đi nhặt dây của địch mà dùng,41.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/141/141_000003531.wav,không hiểu tại sao nó không hề viết thư về cho mẹ đằng đẵng ba năm ròng,không hề viết thư về cho mẹ đằng đẵng ba năm ròng,41.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/052/052_000000885.wav,những người nhóm đây là những người làm việc ít kiếm nhiều tiền và trả thuế ít,những người làm việc ít kiếm nhiều tiền và trả thuế ít,41.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/063/063_000009170.wav,giữa reova và luis phe giữa những thiên thần cam phận và những thiên thần nổi loạn,giữa những thiên thần cam phận và những thiên thần nổi loạn,41.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/179/179_000003215.wav,nhiều lịch sử phương diện nhiều hơn là đào sâu vào nguyên nhân hay các chi tiết,nhiều hơn là đào sâu vào nguyên nhân hay các chi tiết,41.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/070/070_000007612.wav,các trường học được mỹ tài trợ ở nước ngoài của qweb states go,các trường học được mĩ tài trợ ở nước ngoài nếu việc,41.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/137/137_000002077.wav,con đã gửi thư về cho mẹ con đã quyết định ở đây bố cứ yên tâm là con sẽ không sinh hư đâu,con đã quyết định ở đây bố cứ yên tâm là con sẽ không sinh hư đâu,41.17647059
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/083/083_000004519.wav,của sergio hodgson từ quê nhà the creed của ông ta hay vụ tàn sát hàng loạt tín đồ chelsea sau cuộc nổi dậy thất bại của họ vào năm,của ông ta hay vụ tàn sát hàng loạt tín đồ shia sau cuộc nổi dậy thất bại của họ vào năm,40.90909091
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/059/059_000002181.wav,tôi hỏi tôi hiểu ý cô rồi,tôi hiểu ý cô rồi,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/059/059_000008326.wav,anh khác anh uống nước đủ rồi,anh uống nước đủ rồi,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/074/074_000004382.wav,những giềng những khao khát của bạn,những khao khát của bạn,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/015/015_000006100.wav,cô như cô cậu từ mười hai,cô cậu từ mười hai,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/059/059_000002248.wav,tôi đáp tôi cũng không nói được,tôi cũng không nói được,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/089/089_000000277.wav,có tàng có táng có hương án thờ vua được sắc phong cho cụ,có hương án thờ vua được sắc phong cho cụ,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/082/082_000002983.wav,không em không muốn ai khác cả,không muốn ai khác cả,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/116/116_000000541.wav,bạch trực bạch phục linh cam thảo,bạch phục linh cam thảo,40
/mnt/mmlab2024/datasets/Backup/final_dataset/wav_split_2/data_1/189/189_000000723.wav,thôi được thôi được ông cụ nói,thôi được ông cụ nói,40
